product_category_name,total_vendas,percentual,percentual_acumulado
cama_mesa_banho,11115,10.009275351878033,10.009275351878033
beleza_saude,9670,8.7080245301539,18.71729988203193
esporte_lazer,8641,7.781389861950346,26.498689743982276
moveis_decoracao,8334,7.504930344808955,34.00362008879123
informatica_acessorios,7827,7.048366907705746,41.05198699649698
utilidades_domesticas,6964,6.271218493070502,47.32320548956748
relogios_presentes,5991,5.395012922456257,52.71821841202373
telefonia,4545,4.092861581132314,56.81107999315604
ferramentas_jardim,4347,3.9145587003701134,60.72563869352616
automotivo,4235,3.813700505191495,64.53933919871766
brinquedos,4117,3.707439192414023,68.24677839113168
cool_stuff,3796,3.418372400875305,71.66515079200698
perfumaria,3419,3.078876511747278,74.74402730375427
bebes,3065,2.7600925734148607,77.50411987716913
eletronicos,2767,2.4917377326717514,79.99585760984088
papelaria,2517,2.266607832719479,82.26246544256036
fashion_bolsas_e_acessorios,2031,1.8289553072122613,84.09142074977261
pet_shop,1947,1.7533116608282981,85.84473241060091
moveis_escritorio,1691,1.5227786432771708,87.36751105387808
consoles_games,1137,1.023890784982935,88.39140183886101
malas_acessorios,1092,0.9833674029915261,89.37476924185255
construcao_ferramentas_construcao,929,0.8365827082226446,90.2113519500752
eletrodomesticos,771,0.6943006114528083,90.905652561528
instrumentos_musicais,680,0.6123533278701812,91.51800588939818
eletroportateis,679,0.611452808270372,92.12945869766855
casa_construcao,604,0.5439138382846902,92.67337253595325
livros_interesse_geral,553,0.4979873386944267,93.17135987464768
alimentos,510,0.4592649959026358,93.6306248705503
moveis_sala,503,0.45296135870397214,94.08358622925428
casa_conforto,434,0.390825506317145,94.47441173557142
bebidas,379,0.3412969283276451,94.81570866389907
audio,364,0.32778913433050866,95.14349779822959
market_place,311,0.28006159554062693,95.42355939377022
construcao_ferramentas_iluminacao,304,0.2737579583419633,95.69731735211218
climatizacao,297,0.26745432114329964,95.96477167325548
moveis_cozinha_area_de_servico_jantar_e_jardim,281,0.25304600754635426,96.21781768080184
alimentos_bebidas,278,0.25034444874692696,96.46816212954877
industria_comercio_e_negocios,268,0.24133925274883605,96.7095013822976
livros_tecnicos,267,0.24043873314902697,96.94994011544662
telefonia_fixa,264,0.2377371743495997,97.18767728979623
fashion_calcados,262,0.23593613514998152,97.42361342494621
construcao_ferramentas_jardim,238,0.21432366475456335,97.63793708970077
eletrodomesticos_2,238,0.21432366475456335,97.85226075445533
agro_industria_e_comercio,212,0.19091015515952703,98.04317090961486
artes,209,0.18820859636009976,98.23137950597496
pcs,203,0.18280547876124525,98.4141849847362
sinalizacao_e_seguranca,199,0.17920340036200888,98.59338838509821
construcao_ferramentas_seguranca,194,0.17470080236296343,98.76808918746117
artigos_de_natal,153,0.13777949877079076,98.90586868623197
fashion_roupa_masculina,132,0.11886858717479985,99.02473727340677
fashion_underwear_e_moda_praia,131,0.11796806757499076,99.14270534098176
moveis_quarto,109,0.0981566363791908,99.24086197736095
construcao_ferramentas_ferramentas,103,0.09275351878033626,99.33361549614129
tablets_impressao_imagem,83,0.07474312678415446,99.40835862292545
portateis_casa_forno_e_cafe,76,0.06843948958549083,99.47679811251093
cine_foto,72,0.06483741118625447,99.5416355236972
dvds_blu_ray,64,0.057633254387781746,99.59926877808498
livros_importados,60,0.0540311759885454,99.65329995407352
fashion_roupa_feminina,48,0.04322494079083631,99.69652489486435
artigos_de_festas,43,0.03872234279179086,99.73524723765614
fraldas_higiene,39,0.03512026439255451,99.7703675020487
moveis_colchao_e_estofado,38,0.034219744792745414,99.80458724684145
musica,38,0.034219744792745414,99.8388069916342
flores,33,0.029717146793699963,99.8685241384279
casa_conforto_2,30,0.0270155879942727,99.89553972642217
fashion_esporte,30,0.0270155879942727,99.92255531441644
artes_e_artesanato,24,0.021612470395418155,99.94416778481187
portateis_cozinha_e_preparadores_de_alimentos,15,0.01350779399713635,99.957675578809
cds_dvds_musicais,14,0.012607274397327258,99.97028285320633
la_cuisine,14,0.012607274397327258,99.98289012760365
pc_gamer,9,0.008104676398281808,99.99099480400193
fashion_roupa_infanto_juvenil,8,0.007204156798472718,99.99819896080041
seguros_e_servicos,2,0.0018010391996181796,100.00000000000003
