customer_state,total_orders,delivered_orders,conversion_rate
SP,41745,40500,97.02
RJ,12852,12350,96.09
MG,11635,11354,97.58
RS,5466,5345,97.79
PR,5045,4923,97.58
SC,3637,3546,97.5
BA,3380,3256,96.33
DF,2140,2080,97.2
ES,2033,1995,98.13
GO,2020,1957,96.88
PE,1652,1593,96.43
CE,1336,1279,95.73
PA,975,946,97.03
MT,907,886,97.68
MA,747,717,95.98
MS,715,701,98.04
PB,536,517,96.46
PI,495,476,96.16
RN,485,474,97.73
AL,413,397,96.13
SE,350,335,95.71
TO,280,274,97.86
RO,253,243,96.05
AM,148,145,97.97
AC,81,80,98.77
AP,68,67,98.53
RR,46,41,89.13
